District,State,Political outlook,Leadership and Title ,First Name,Last Name,Nickname,Party ,H.R.6408 (Vote Held),H.R.7921         (No Vote Held),H. R. 6090 (Vote Held),H.R.666              (No Vote Held),H.R. 4627             (No Vote Held),H.Res.786            (No Vote Held),H.Res.845 (Vote Held) ,H.R. 3985       (No Vote Held),H. Res. 989       (No Vote Held),H.R. 4639       (No Vote Held),H.R.6126 (Vote Held),H.R.635 (No Vote Held),H.Res.246 (No Vote Held),H.Res.76 (Vote Held),H.R.556 (No Vote Held),H. Res. 414 (No Vote Held) ,H.R. 1511 (No Vote Held),H.R.1325 (No Vote Held),H.R.8034 (Vote Held),,"Letter Condemning Hamas Attacks, Urging Protection of Innocent Civilian Lives",Lawmakers Seek Information from Big Banks on Account Closure Practices that Discriminate Against Muslim Americans,"Lawmakers Raise Concern over Accuracy, Due Process, Civil Rights Violations with Terrorism Watchlist",Discharge Petition No. 9: Motion to Discharge a Committee from the Consideration of a Resolution,,,Headshot URL
CA15,CA,Up for re-election in 2024,Rep. ,Kevin,Mullin,,D,Y,,Y,,,,N,(C),(C),,N,,(C),N,,,,,Y,,,,,Signed,Kevin,Mullin,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Rep._Kevin_Mullin_official_portrait%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Kevin_Mullin_official_portrait%2C_118th_Congress_%28cropped%29.jpg
NC03,NC,Up for re-election in 2024,Rep. ,Gregory,Murphy,Greg,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Gregory,Murphy,
NY12,NY,Up for re-election in 2024,Rep. ,Jerrold,Nadler,,D,Y,(C),N,(C),(C),,N,,,(C),N,,,N,,,(C),N,Y,,,,,Signed,Jerrold,Nadler,
CA31,CA,Retiring at end of current term,Rep. ,Grace,Napolitano,,D,Not voting,,Y,(C),,,N,,,,Not voting,,,N,,,(C),,Y,,,,,Signed,Grace,Napolitano,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Rep-Napolitano_%28cropped%29.jpg/75px-Rep-Napolitano_%28cropped%29.jpg
MA01,MA,Up for re-election in 2024,Rep. ,Richard,Neal,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Richard,Neal,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Richard_Neal_official_photo_%28cropped%29.jpg/75px-Richard_Neal_official_photo_%28cropped%29.jpg
CO02,CO,Up for re-election in 2024,Rep. ,A,Neguse,Joe,D,Y,,Y,,,,N,,,,N,,,N,,,(C),N,Y,,,,,Signed,A,Neguse,
TX22,TX,Up for re-election in 2024,Rep. ,Troy,Nehls,,R,Y,,Y,,,,Y(C),,,,Y,,,Y,,,,N,N,,,,,,Troy,Nehls,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Troy_Nehls_117th_U.S_Congress_%28cropped%29.jpg/75px-Troy_Nehls_117th_U.S_Congress_%28cropped%29.jpg
WA04,WA,Up for re-election in 2024,Rep. ,Daniel,Newhouse,Dan,R,Y,,Y,,,,Y,,,,Not voting (C),,,Y,,,,,Y,,,,,,Daniel,Newhouse,
NC13,NC,Retiring at end of current term,Rep. ,George,Nickel,Wiley,D,Y,,Y,,,,Y,,,,N,,,N,,,,,Y,,,,,Signed,George,Nickel,
NJ01,NJ,Up for re-election in 2024,Rep. ,Donald,Norcross,,D,Y,,Y,,,,,,,,N,,,N,,,,,Y,,,,,Signed,Donald,Norcross,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Donald_Norcross_official_portrait_%28cropped%29.jpg/75px-Donald_Norcross_official_portrait_%28cropped%29.jpg
SC05,SC,Up for re-election in 2024,Rep. ,Ralph,Norman,,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Ralph,Norman,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Ralph_Norman_official_photo_%28cropped%29.jpg/75px-Ralph_Norman_official_photo_%28cropped%29.jpg
DC01,DC,Up for re-election in 2024,Rep. ,Eleanor,Norton,,D,Y,,Y,(C),,,,,(C),,,,(C),,(C),,,N,Y,,Signed,,Signed,,Eleanor,Norton,
IA03,IA,Up for re-election in 2024,Rep. ,Zach,Nunn,,R,Y,,Y,,(C),,Y,,,,Y©,,,Y,,,,,Y,,,,,,Zach,Nunn,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Rep._Zach_Nunn_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Zach_Nunn_official_photo%2C_118th_Congress_%28cropped%29.jpg
CA23,CA,Up for re-election in 2024,Rep. ,Jay,Obernolte,,R,Y,,Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,Jay,Obernolte,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Jay_Obernolte_117th_U.S_Congress_%28cropped%29.jpg/75px-Jay_Obernolte_117th_U.S_Congress_%28cropped%29.jpg
NY14,NY,Up for re-election in 2024,Rep. ,Alexandria,Ocasio-Cortez,,D,N,,N,,,(C),N,,(C),,N,,(C),N,(C),,(C),N,N,,Signed,,,,Alexandria,Ocasio-Cortez,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Alexandria_Ocasio-Cortez_Official_Portrait_%28cropped%29.jpg/75px-Alexandria_Ocasio-Cortez_Official_Portrait_%28cropped%29.jpg
TN05,TN,Up for re-election in 2024,Rep. ,Andrew,Ogles,Andy,R,Not voting,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Andrew,Ogles,
MN05,MN,Up for re-election in 2024,Rep. ,Ilhan,Omar,,D,N,,N,,,(C),N,(S),(C),,N,(C),(C),N,(C),(C),(C),N,N,,,Signed,Signed,,Ilhan,Omar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Ilhan_Omar%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Ilhan_Omar%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
UT04,UT,Up for re-election in 2024,Rep. ,Burgess,Owens,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Burgess,Owens,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Burgess_Owens_117th_U.S_Congress_%28cropped%29.jpg/75px-Burgess_Owens_117th_U.S_Congress_%28cropped%29.jpg
NJ06,NJ,Up for re-election in 2024,Rep. ,Frank,Pallone,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Frank,Pallone,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Frank_Pallone%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg/75px-Frank_Pallone%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg
AL06,AL,Up for re-election in 2024,Republican Policy Committee Chairman Rep. ,Gary,Palmer,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Gary,Palmer,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gary_Palmer_-_2018_%28cropped%29.jpg/75px-Gary_Palmer_-_2018_%28cropped%29.jpg
CA19,CA,Up for re-election in 2024,Rep. ,Jimmy,Panetta,,D,Y,(C),Y,,,,N,,,,N,,,N,,,(C),Y,Y,,,,Signed,,Jimmy,Panetta,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Jimmy_Panetta_official_portrait_%28cropped%29.jpg/75px-Jimmy_Panetta_official_portrait_%28cropped%29.jpg
NH01,NH,Up for re-election in 2024,Rep. ,Christopher,Pappas,Chris,D,Y,,Y,,,,Y,,,,N,,,N,,,,,Y,,,,,Signed,Christopher,Pappas,
NJ09,NJ,Up for re-election in 2024,Rep. ,William,Pascrell,Bill,D,Y,,Y,,,,N,(C),(C),,N,,(C),N,(C),,,,Y,,,,,Signed,William,Pascrell,
NJ10,NJ,Up for re-election in 2024,Rep. ,Donald,Payne,,D,Not voting,,Y,(C),,,N,,,,N,,,N,,,(C),,Not Voting,,,,,,Donald,Payne,
CA11,CA,Up for re-election in 2024,Rep. ,Nancy,Pelosi,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Nancy,Pelosi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Official_photo_of_Speaker_Nancy_Pelosi_in_2019_%281%29.jpg/75px-Official_photo_of_Speaker_Nancy_Pelosi_in_2019_%281%29.jpg
AK01,AK,Up for re-election in 2024,Rep. ,Mary,Peltola,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Mary,Peltola,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Mary_Peltola_Congressional_Member_Portrait_%282%29_%28cropped%29.jpeg/80px-Mary_Peltola_Congressional_Member_Portrait_%282%29_%28cropped%29.jpeg
IN06,IN,Retiring at end of current term,Rep. ,Gregory,Pence,,R,Not voting,,Y,,,,Y,,,,Y(C),,,,,,,,Y,,,,,,Gregory,Pence,
PA10,PA,Up for re-election in 2024,Rep. ,Scott,Perry,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Scott,Perry,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Scott_Perry%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/75px-Scott_Perry%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg
CA50,CA,Up for re-election in 2024,Rep. ,Scott,Peters,,D,Y,,Y,,(C),,N,,,,N,,,N,,,,,Y,,,,,Signed,Scott,Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Scott_Peters_official_portrait_116th_Congress_%28cropped%29.jpg/75px-Scott_Peters_official_portrait_116th_Congress_%28cropped%29.jpg
CO07,CO,Up for re-election in 2024,Rep. ,Brittany,Pettersen,,D,Y,,Y,,,,N,,,,N,,,N,,,(C),,Y,,,,,Signed,Brittany,Pettersen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Rep._Brittany_Pettersen_118th_Congress_%28cropped%29.jpg/75px-Rep._Brittany_Pettersen_118th_Congress_%28cropped%29.jpg
TX11,TX,Up for re-election in 2024,Rep. ,August,Pfluger,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,August,Pfluger,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/August_Pfluger_official_photo_%28cropped%29.jpg/75px-August_Pfluger_official_photo_%28cropped%29.jpg
MN03,MN,Running for President,Rep. ,Dean,Phillips,,D,Y,,Y,,(C),,Not voting,(C),,,Not voting,,,N,,,,Y,Y,,,,,Signed,Dean,Phillips,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Dean_Phillips%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Dean_Phillips%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
ME01,ME,Up for re-election in 2024,Rep. ,Chellie,Pingree,,D,Y,,N,,,,N,,,,N,,,N,,,,Y,N,,Signed,,,Signed,Chellie,Pingree,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Chellie_Pingree_official_photo_%28cropped%29.jpg/75px-Chellie_Pingree_official_photo_%28cropped%29.jpg
VI01,VI,Up for re-election in 2024,Rep. ,Stacey,Plaskett,,D,Y,,Y,,,,,,,,,,,,,,,,,,,,,,Stacey,Plaskett,
WI02,WI,Up for re-election in 2024,Rep. ,Mark,Pocan,,D,Y,,N,,,,N,(C),,,N,,,N,,,(C),,N,,Signed,,,,Mark,Pocan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Mark_Pocan_official_photo_%28cropped_2%29.jpg/75px-Mark_Pocan_official_photo_%28cropped_2%29.jpg
CA47,CA,Running for Senate in 2024,Rep. ,Katherine,Porter,Katie,D,Not voting,,N,(C),,,N,(C),(C),,N,,(C),N,(C),,(C),,Y,,,,Signed,Signed,Katherine,Porter,
FL08,FL,Up for re-election in 2024,Rep. ,William,Posey,Bill,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,William,Posey,
MA07,MA,Up for re-election in 2024,Rep. ,Ayanna,Pressley,,D,N,,N,(C),,(C),N,(C),(C),,N,,,N,,(C),(C),,N,,Signed,Signed,,,Ayanna,Pressley,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Rep._Ayanna_Pressley%2C_117th_Congress_%28cropped%29.jpg/75px-Rep._Ayanna_Pressley%2C_117th_Congress_%28cropped%29.jpg
IL05,IL,Up for re-election in 2024,Rep. ,Michael,Quigley,Mike,D,Y,,Y,(C),,,N,,,,N,,,N,,,(C),Y,Y,,,,,Signed,Michael,Quigley,
AS01,AS,Up for re-election in 2024,Rep. ,Amata,Radewagen,,R,Y,,Y,,(C),,,,,,,,,,,,,,,,,,,,Amata,Radewagen,
IL03,IL,Up for re-election in 2024,Rep. ,Delia,Ramirez,,D,N,,N,(C),,(C),N,,(C),,N,,,N,,(C),(C),Y,N,,Signed,,,,Delia,Ramirez,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Rep._Delia_Ramirez_official_portrait%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Delia_Ramirez_official_portrait%2C_118th_Congress_%28cropped%29.jpg
MD08,MD,Up for re-election in 2024,Rep. ,Jamin,Raskin,Jamie,D,Y,,Y,(C),,,N,(C),,,N,,,N,,,,,N,,,,,Signed,Jamin,Raskin,
PA14,PA,Up for re-election in 2024,Rep. ,Guy,Reschenthaler,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Guy,Reschenthaler,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Guy_Reschenthaler_116th_Congress.jpg/75px-Guy_Reschenthaler_116th_Congress.jpg
KY05,KY,Up for re-election in 2024,Rep. ,Harold,Rogers,Hal,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Harold,Rogers,
AL03,AL,Up for re-election in 2024,Rep. ,Michael,Rogers,Mike,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Michael,Rogers,
TN06,TN,Up for re-election in 2024,Rep. ,John,Rose,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,John,Rose,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/John_Rose_118th_Congress_%28cropped%29.jpeg/75px-John_Rose_118th_Congress_%28cropped%29.jpeg
MT02,MT,Up for re-election in 2024,Rep. ,Matthew,Rosendale,Matt,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Matthew,Rosendale,
NC02,NC,Up for re-election in 2024,Rep. ,Deborah,Ross,,D,Y,,Y,,,,N,,,,N,,,N,,,(C),Y,Y,,,,,Signed,Deborah,Ross,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Deborah_Ross_117th_U.S_Congress_%28cropped%29.jpg/75px-Deborah_Ross_117th_U.S_Congress_%28cropped%29.jpg
NC07,NC,Up for re-election in 2024,Rep. ,David,Rouzer,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,David,Rouzer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/David_Rouzer_official_photo_%28cropped%29.jpg/75px-David_Rouzer_official_photo_%28cropped%29.jpg
TX21,TX,Up for re-election in 2024,Rep. ,Charles,Roy,Chip,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Charles,Roy,
CA25,CA,Up for re-election in 2024,Rep. ,Raul,Ruiz,,D,Y,,Y,,,,N,,,,N,,,N,,,(C),,Y,,,,,Signed,Raul,Ruiz,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Raul_Ruiz%2C_official_portrait%2C_113th_congress_%28cropped%29.jpg/75px-Raul_Ruiz%2C_official_portrait%2C_113th_congress_%28cropped%29.jpg
MD02,MD,Retiring at end of current term,Rep. ,Charles,Ruppersberger,Dutch,D,Y,,Y,,,,N,(C),,,N,,,N,,,,Y,Y,,,,,Signed,Charles,Ruppersberger,
FL05,FL,Up for re-election in 2024,Rep. ,John,Rutherford,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,John,Rutherford,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/John_Rutherford_official_photo_%28cropped%29.jpg/75px-John_Rutherford_official_photo_%28cropped%29.jpg
NY18,NY,Up for re-election in 2024,Rep. ,Patrick,Ryan,Pat,D,Y,(C),Y,,,,Y,,,,N,,,N,,,,,Y,,,,,Signed,Patrick,Ryan,
MP01,MP,Up for re-election in 2024,Rep. ,Gregorio,Sablan,,D,Y,,Y,,,,,,,,,,,,,,,,,,,,,,Gregorio,Sablan,
FL27,FL,Up for re-election in 2024,Rep. ,Maria Elvira,Salazar,,R,Y,(C),Y,,(C),,Y,,,,Y(C),,,Y,,,,Y,Y,,,,,,Maria Elvira,Salazar,
OR06,OR,Up for re-election in 2024,Rep. ,Andrea,Salinas,,D,Y,,Y,,,,N,,,,N,,,N,,,(C),,Y,,,,,Signed,Andrea,Salinas,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Andrea_Salinas%2C_Official_Portrait%2C_118th_Congress_%28cropped%29.jpg/75px-Andrea_Salinas%2C_Official_Portrait%2C_118th_Congress_%28cropped%29.jpg
CA38,CA,Up for re-election in 2024,Rep. ,Linda,Sanchez,,D,Y,,N,,,,N,(C),(C),,N,,,N,(C),,(C),,Y,,,,,Signed,Linda,Sanchez,
MD03,MD,Retiring at the end of current term,Rep. ,John,Sarbanes,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,John,Sarbanes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/John_Sarbanes_official_photo_%28cropped%29.jpg/75px-John_Sarbanes_official_photo_%28cropped%29.jpg
LA01,LA,Up for re-election in 2024,Majority Leader Rep. ,Stephen,Scalise,Steve,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Stephen,Scalise,
PA05,PA,Up for re-election in 2024,Rep. ,Mary,Scanlon,,D,Y,,N,(C),,,N,,,,Not voting,,,N,,,(C),,Y,,Signed,,,Signed,Mary,Scanlon,
IL09,IL,Up for re-election in 2024,Rep. ,Janice,Schakowsky,,D,N,,N,(C),,,N,(C),(C),,N,,(C),N,,,(C),,Y,,Signed,,,Signed,Janice,Schakowsky,
CA30,CA,Running for Senate in 2024,Rep. ,Adam,Schiff,,D,Y,,Y,(C),,,N,,,,N,,(C),N,,,(C),,Y,,,,,Signed,Adam,Schiff,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Adam_Schiff_official_portrait_%28cropped%29.jpg/75px-Adam_Schiff_official_portrait_%28cropped%29.jpg
IL10,IL,Up for re-election in 2024,Rep. ,Bradley,Schneider,,D,Y,(C),Y,,,,Y,,,,N,,,N,,,,,Y,,,,,Signed,Bradley,Schneider,
MI03,MI,Up for re-election in 2024,Rep. ,Hillary,Scholten,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Hillary,Scholten,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Rep._Hillary_Scholten_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Hillary_Scholten_-_118th_Congress_%28cropped%29.jpg
WA08,WA,Up for re-election in 2024,Rep. ,Kim,Schrier,,D,Y,,Y,,,,Y,,,,N,,,N,,,,,Y,,,,,Signed,Kim,Schrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Kim_Schrier_Official_Portrait_116th_Congress_%28cropped%29.jpg/75px-Kim_Schrier_Official_Portrait_116th_Congress_%28cropped%29.jpg
AZ01,AZ,Up for re-election in 2024,Rep. ,David,Schweikert,,R,Y,,Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,David,Schweikert,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/David_Schweikert_official_portrait_116th_Congress_%28cropped%29.jpg/75px-David_Schweikert_official_portrait_116th_Congress_%28cropped%29.jpg
GA13,GA,Up for re-election in 2024,Rep. ,David,Scott,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,David,Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/David_Scott_116th_Congress.jpg/75px-David_Scott_116th_Congress.jpg
GA08,GA,Up for re-election in 2024,Rep. ,Austin,Scott,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Austin,Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Austin_Scott_official_photo_%28cropped%29.jpg/75px-Austin_Scott_official_photo_%28cropped%29.jpg
VA03,VA,Up for re-election in 2024,Rep. ,Robert,Scott,Bobby,D,Y,,N,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Robert,Scott,
TX03,TX,Up for re-election in 2024,Rep. ,Keith,Self,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Keith,Self,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Rep._Keith_Self_official_photo%2C_118th_Congress_%28cropped%29.jpg/72px-Rep._Keith_Self_official_photo%2C_118th_Congress_%28cropped%29.jpg
TX17,TX,Up for re-election in 2024,Rep. ,Peter,Sessions,Pete,R,Y,,Y,,,,Y,,,,Not voting(C),,,Y,,,,,Y,,,,,,Peter,Sessions,
AL07,AL,Up for re-election in 2024,Rep. ,Terrycina,Sewell,Terri,D,Y,,Y,,,,N,,,,N,,(C),N,,,(C),,Y,,,,,Signed,Terrycina,Sewell,
CA32,CA,Up for re-election in 2024,Rep. ,Bradley,Sherman,Brad,D,Y,,Y,,,,N,(C),,,N,,(C),N,,,(C),,Y,,,,,Signed,Bradley,Sherman,
NJ11,NJ,Up for re-election in 2024,Rep. ,Rebecca,Sherrill,Mikie,D,Y,,Y,,(C),,N,(C),,,N,,,N,,,,,Y,,,,,,Rebecca,Sherrill,
ID02,ID,Up for re-election in 2024,Rep. ,Michael,Simpson,Mike,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michael,Simpson,
MI07,MI,Running for Senate in 2024,Rep. ,Elissa,Slotkin,,D,Y,(C),Y,,,,N,,,,N,,,N,,,,,Y,,,,Signed,,Elissa,Slotkin,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Elissa_Slotkin%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Elissa_Slotkin%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
NE03,NE,Up for re-election in 2024,Rep. ,Adrian,Smith,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Adrian,Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Adrian_Smith%2C_official_110th_Congress_photo_portrait_%28cropped%29.jpg/75px-Adrian_Smith%2C_official_110th_Congress_photo_portrait_%28cropped%29.jpg
MO08,MO,Up for re-election in 2024,Rep. ,Jason,Smith,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Jason,Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Congressman_Jason_T._Smith_%28cropped%29.jpg/75px-Congressman_Jason_T._Smith_%28cropped%29.jpg
NJ04,NJ,Up for re-election in 2024,Rep. ,Christopher,Smith,Chris,R,Y,(C),Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Christopher,Smith,
WA09,WA,Up for re-election in 2024,Rep. ,Adam,Smith,,D,Y,,Y,(C),,,N,,(C),,N,,,N,,,,,Y,,,,,Signed,Adam,Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Adam_Smith_official_photo_%28cropped%29.jpg/75px-Adam_Smith_official_photo_%28cropped%29.jpg
PA11,PA,Up for re-election in 2024,Rep. ,Lloyd,Smucker,,R,Y,,Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,Lloyd,Smucker,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Lloyd_Smucker_Official_Congressional_Photo_%28cropped%29.jpg/75px-Lloyd_Smucker_Official_Congressional_Photo_%28cropped%29.jpg
IL17,IL,Up for re-election in 2024,Rep. ,Eric,Sorensen,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Eric,Sorensen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sorensen_House_Photo_%28cropped%29.jpg/75px-Sorensen_House_Photo_%28cropped%29.jpg
FL09,FL,Up for re-election in 2024,Rep. ,Darren,Soto,,D,Y,,Y,,,,Y,,,,Y,,,N,,,(C),,Y,,,,,Signed,Darren,Soto,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Darren_Soto_115th_Congress_photo_%28cropped%29.jpg/75px-Darren_Soto_115th_Congress_photo_%28cropped%29.jpg
VA07,VA,Running for Governor of Virginia in 2025,Rep. ,Abigail,Spanberger,,D,Y,,Y,,(C),,,,,,N,,,N,,,,,Y,,,,,Signed,Abigail,Spanberger,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Rep._Abigail_Spanberger_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Abigail_Spanberger_-_118th_Congress_%28cropped%29.jpg
IN05,IN,Up for re-election in 2024,Rep. ,Victoria,Spartz,,R,Not voting,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Victoria,Spartz,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Victoria_Spartz_117th_U.S_Congress_%28cropped%29.jpg/75px-Victoria_Spartz_117th_U.S_Congress_%28cropped%29.jpg
NM01,NM,Up for re-election in 2024,Rep. ,Melanie,Stansbury,,D,Y,,N,(C),,,N,,(C),,N,,,N,,,,,Y,,Signed,,,Signed,Melanie,Stansbury,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Melanie_Stansbury_117th_Congress_%28cropped%29.jpg/75px-Melanie_Stansbury_117th_Congress_%28cropped%29.jpg
AZ04,AZ,Up for re-election in 2024,Rep. ,Greg,Stanton,,D,Y,,Y,,(C),,N,,,,N,,,N,,,,,Y,,,,,Signed,Greg,Stanton,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Greg_Stanton_official_portrait_%28118th_Congress%29_%28cropped%29.jpg/74px-Greg_Stanton_official_portrait_%28118th_Congress%29_%28cropped%29.jpg
MN08,MN,Up for re-election in 2024,Rep. ,Pete,Stauber,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Pete,Stauber,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Pete_Stauber%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Pete_Stauber%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
CA45,CA,Up for re-election in 2024,Rep. ,Michelle,Steel,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michelle,Steel,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/MichelleSteel_%28cropped%29.jpg/75px-MichelleSteel_%28cropped%29.jpg
NY21,NY,Up for re-election in 2024,Republican Caucus Chairman Rep. ,Elise,Stefanik,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Elise,Stefanik,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Elise_Stefanik%2C_115th_official_photo_%28cropped%29.jpg/75px-Elise_Stefanik%2C_115th_official_photo_%28cropped%29.jpg
WI01,WI,Up for re-election in 2024,Rep. ,Bryan,Steil,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Bryan,Steil,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Bryan_Steil_%28cropped%29.jpg/75px-Bryan_Steil_%28cropped%29.jpg
FL17,FL,Up for re-election in 2024,Rep. ,William,Steube,Greg,R,Y,,Y,,,,Y,,,,Y,,,,,,,,Y,,,,,,William,Steube,
