First Name,Last Name,Headshot,State,Political outlook,Leadership Position,Nickname,Party ,District,S.4091,S.4127,S. 1916,S. 2327,S. Res. 534,S.3168,S.Res.504,Letter A,Letter B,Letter C,Letter D
John,Fetterman,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/John_Cornyn_%28cropped%29.jpg/97px-John_Cornyn_%28cropped%29.jpg,PA,Up for re-election in 2028,,,D,PAS02,,(C),,,(C),,Y,,,,
John,Hickenlooper,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/John_Fetterman_official_portrait_%283x4%29.jpg/95px-John_Fetterman_official_portrait_%283x4%29.jpg,CO,Up for re-election in 2026,,,D,COS02,,,,,,,Y,,,,
John,Hoeven,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/John_Hickenlooper%2C_official_portrait%2C_117th_Congress_%284x5_crop%29.jpeg/95px-John_Hickenlooper%2C_official_portrait%2C_117th_Congress_%284x5_crop%29.jpeg,ND,Up for re-election in 2028,,,R,NDS01,,,,,,,Y,,,,
John,Kennedy,//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hoeven_Official_Portrait_2014_%28cropped%29.JPG/95px-Hoeven_Official_Portrait_2014_%28cropped%29.JPG,LA,Up for re-election in 2028,,,R,LAS02,,,,,,,Not Voting,,,,
John,Reed,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/John_Neely_Kennedy%2C_official_portrait%2C_115th_Congress.jpg/95px-John_Neely_Kennedy%2C_official_portrait%2C_115th_Congress.jpg,RI,Up for re-election in 2026,,Jack,D,RIS01,,,,(C),,,Y,Signed,,,
John,Ricketts,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/John_Thune_117th_Congress_portrait_%28cropped%29.jpg/95px-John_Thune_117th_Congress_portrait_%28cropped%29.jpg,NE,Up for election in 2024,,Pete,R,NES02,,(C),,,,,Y,,,,
John,Thune,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Jon_Ossoff_Senate_Portrait_2021_%28cropped%29.jpg/95px-Jon_Ossoff_Senate_Portrait_2021_%28cropped%29.jpg,SD,Up for re-election in 2028,Senate Minority Whip,,R,SDS01,,,,,,,y,,,,
Jon,Tester,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/JonTester_%28cropped%29.jpg/95px-JonTester_%28cropped%29.jpg,MT,Up for re-election in 2024,,,D,MTS01,,,,,,,Y,,,,
Joni,Ernst,//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Joni_Ernst%2C_official_portrait%2C_116th_Congress_3_%28cropped%29.jpg/95px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_3_%28cropped%29.jpg,IA,Up for re-election in 2026,,,R,IAS02,(C),,,,,,Y,,,,
Joseph,Manchin,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Josh_Hawley%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/95px-Josh_Hawley%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,WV,Retiring at the end of current term,,Joe,D,WVS01,,(C),,,,,Y,,,,
Joshua,Hawley,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Katie_Britt_%28cropped%29.jpg/95px-Katie_Britt_%28cropped%29.jpg,MO,Up for re-election in 2024,,Josh,R,MOS01,(C),(C),,,,(C),Y,,,,
Katie,Britt,//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Kevin_Cramer%2C_official_portrait%2C_116th_congress_2_%284x5_crop%29.jpg/95px-Kevin_Cramer%2C_official_portrait%2C_116th_congress_2_%284x5_crop%29.jpg,AL,Up for re-election in 2028,,,R,ALS02,(C),(C),,,,,Y,,,,
Kevin,Cramer,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress_%284x5_crop%29.jpg/95px-Kirsten_Gillibrand%2C_official_photo%2C_116th_Congress_%284x5_crop%29.jpg,ND,Up for re-election in 2024,,,R,NDS02,(C),,,,,,Y,,,,
Kirsten,Gillibrand,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Kyrsten_Sinema_%28cropped%29.jpg/95px-Kyrsten_Sinema_%28cropped%29.jpg,NY,Up for re-election in 2024,,,D,NYS02,(C),(C),,,,,Y,,,,
Kyrsten,Sinema,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Laphonza_Butler_Senate_photo%2C_2023_%28close_crop%29.jpg/95px-Laphonza_Butler_Senate_photo%2C_2023_%28close_crop%29.jpg,AZ,Up for re-election in 2024,,,I,AZS01,,(C),,,,,Y,,,,
Ladda,Duckworth,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/U.S._Senator_Lindsey_Graham%2C_Official_Photo%2C_113th_Congress_%28cropped%29.jpg/95px-U.S._Senator_Lindsey_Graham%2C_Official_Photo%2C_113th_Congress_%28cropped%29.jpg,IL,Up for re-election in 2028,,Tammy,D,ILS02,,,,,,,Y,,,,
Laphonza,Butler,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/95px-Lisa_Murkowski_official_photo_%28cropped%29.jpg,CA,Retiring at end of current term,,,D,CAS01,(C),,,,,,N,,,,
Lindsey,Graham,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Maggie_Hassan%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg/95px-Maggie_Hassan%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,SC,Up for re-election in 2026,,,R,SCS01,(C),,,(C),,,Y,,,,
Lisa,Murkowski,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Senator_Rubio_official_portrait_%28cropped%29.jpg/95px-Senator_Rubio_official_portrait_%28cropped%29.jpg,AK,Up for re-election in 2028,,,R,AKS01,,,,(C),,,Y,,,,
Marco,Rubio,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Maria_Cantwell_%28cropped%29.jpg/95px-Maria_Cantwell_%28cropped%29.jpg,FL,Up for re-election in 2028,,,R,FLS01,,,,,,,Not Voting,,,,
Margaret,Hassan,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Mark_Kelly%2C_Official_Portrait_117th_%28cropped%29_2.jpg/95px-Mark_Kelly%2C_Official_Portrait_117th_%28cropped%29_2.jpg,NH,Up for re-election in 2028,,Maggie,D,NHS02,,(C),,,,,Y,,,,
Maria,Cantwell,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mark_Warner_113th_Congress_photo_%28cropped%29.jpg/95px-Mark_Warner_113th_Congress_photo_%28cropped%29.jpg,WA,Up for re-election in 2024,,,D,WAS02,,(C),,,,,Y,,,,
Mark,Kelly,//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Markwayne_Mullin_official_Senate_photo_%28cropped%29.jpg/95px-Markwayne_Mullin_official_Senate_photo_%28cropped%29.jpg,AZ,Up for re-election in 2028,,,D,AZS02,(C),,,,,,y,,,,
Mark,Mullin,//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Marsha_Blackburn%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/93px-Marsha_Blackburn%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,OK,Represented OK-02 in 117th Congress,,Markwayne,R,OKS02,,,,(C),,,Y,,,,
Mark,Warner,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Heinrich_Official_Headshot_2019_%28cropped%29.jpg/95px-Heinrich_Official_Headshot_2019_%28cropped%29.jpg,VA,Up for re-election in 2026,,,D,VAS01,,,,,,,Y,Signed,,,
Marsha,Blackburn,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,TN,Up for re-election in 2024,,,R,TNS01,,,,,,,Not Voting,,,,
Martin,Heinrich,//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Senator_Mike_Bennett_%284x5_crop%29.jpg/95px-Senator_Mike_Bennett_%284x5_crop%29.jpg,NM,Up for re-election in 2024,,,D,NMS01,(C),,,,,,N,,Signed,,
Mazie,Hirono,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg/95px-Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg,HI,Up for re-election in 2024,,,D,HIS02,,(C),,,,,N,,,,
Michael,Bennet,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Mike_Crapo_2019_%28cropped%29.jpg/95px-Mike_Crapo_2019_%28cropped%29.jpg,CO,Up for re-election in 2028,,,D,COS01,,(C),,,,,Y,Signed,,,
Michael,Crapo,//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Mike_Lee%2C_official_portrait_%284x5_crop%29.jpg/95px-Mike_Lee%2C_official_portrait_%284x5_crop%29.jpg,ID,Up for re-election in 2028,,Mike,R,IDS01,(C),(C),,(C),,,Y,,,,
Michael,Lee,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Mike_Rounds_official_Senate_portrait_%28cropped%29.jpg/95px-Mike_Rounds_official_Senate_portrait_%28cropped%29.jpg,UT,Up for re-election in 2028,,Mike,R,UTS01,,,,,,(C),Y,,,,
Michael,Rounds,//upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Mitch_McConnell_portrait_2016.jpg/95px-Mitch_McConnell_portrait_2016.jpg,SD,Up for re-election in 2026,,Mike,R,SDS02,,,,,,,Not Voting,,,,
